rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1, One Star, Card did not work!!!!,B00X6G8WCI,B00X6G8J3A,AEMW2ADCJBXXCQLXQVM3RJEK53TQ,1505610000000.0,0,False
5, Great Product., I bought this for a Christmas gift.The recipient really liked it.,B01K8RMDO0,B077N4CNVJ,AECK3BJSJOAFSKAAUD4ILDFXZ7KQ,1545090000000.0,0,True
5, No note attached to sent gift card, What a pretty gift card presentation the recipient loved it ! I have one complaint  I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasnu2019t attached. Iu2019ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived .,B01IE42ST4,B0BT85F69N,AH5ZBPCVWAAGJCOPLXMFXD7PGIJQ,1588870000000.0,0,False
5, Gift card, Perfect! Arrived just when stated!,B06W5SBSL7,B071X4ZX3X,AFWK5HW3FB4HNVYJUHU5ZW7NPCYA,1560630000000.0,0,True
5, Good, Good gift card,B078VSWVGY,B00BXLW5QC,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1652640000000.0,0,False
5, Good Product, Good Product,B072F9T6VX,B018F4M89S,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1647200000000.0,0,False
5, Good Product, Good Product,B01C9MW8Z6,B00JFBLZ90,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1643570000000.0,0,True
5, Good Product, Good Product,B072BQ7XSH,B072BQ7XSH,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1625870000000.0,0,False
5, Good Product, Good Product,B01IE42ST4,B0BT85F69N,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1621790000000.0,0,False
5, Good Product, Good Product,B07HJD9FVV,B07HJD9FVV,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1618610000000.0,0,True
5, Good product, Good product,B07HJHK8Y5,B07HJHK8Y5,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1610320000000.0,0,True
5, Good product, Good product,B00BXLWD0U,B00BXLWCJ2,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1610320000000.0,0,True
5, Good Product, Good Product,B01MSBQB1P,B01MSBQB1P,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1601000000000.0,0,True
5, Good Product, Good Product,B01K8RMDO0,B077N4CNVJ,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1594620000000.0,0,True
5, Good, Good,B07PFLG7VG,B00VTVA1T4,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1594620000000.0,0,True
5, Gift card, Perfect for Christmas,B07FK7L976,B00ADR2LV6,AFEJKJ56OD6H2XH55DGHJI2526MA,1646360000000.0,0,True
5, So easy, Easy to do,B00IX1I3G6,B00IX1I3G6,AEINWALDRYT4NTF3M5NC2WZ5YQNA,1587060000000.0,0,True
2, Mistake, Hit button by mistake n deduction from credit card on file,B00IX1I3G6,B00IX1I3G6,AHVPSZCUQH3UMQCGQSDZ7BZVUHNQ,1576190000000.0,0,True
5, Great gift idea, Always great to order from my home. Amazon rocks!,B01K8RL9C2,B018F4H5DM,AFPHKIJFGIU4G4POXRFCEF5RJJHA,1607180000000.0,0,True
5, Secure, So easy to use and recipients get to choose how to use it.,B01K8RL9C2,B018F4H5DM,AGQSSZPF5DTU56OIYEZVVKTMKJIQ,1617050000000.0,0,True
5, Birthday surprise!, This was a good birthday surprise!,B01C9MW8Z6,B00JFBLZ90,AHHKNZRXSHRMSGS4WZU4G2XUFF6A,1578590000000.0,0,True
5, Birthday Gift, Have given as Holiday Birthday  Other Occasions remembrances. Always appreciated by the person receiving.,B077T9WSSN,B071X4ZX3X,AGOXD3ECHHH2XAFGO6TSSMRZJQVQ,1661890000000.0,0,True
5, Fun, Awesome  they work,B01MSBQB1P,B01MSBQB1P,AEMM65JNJARUZ23W4LY7737WXIXQ,1547950000000.0,0,True
5, Reload is super easy., Really ready to reload gift cards.,B00IX1I3G6,B00IX1I3G6,AG57CQ6P4QWYMWUV6MTAOETUKHTA,1554030000000.0,1,True
5, Convenience of giftabiliy., A great way to give a gift to family members in physical form. It was so convenient.,B071NM2PNL,B071X4ZX3X,AEN7KAKQJGIQCNK6NMVWH2WZ3YXQ,1608270000000.0,0,True
5, Great Gift Package, Nice gift packaging for any event,B014S24J16,B018F4M89S,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1472220000000.0,0,True
5, Grest Sandwitches !!, Perfect and I even used Amazon Points - was mailed right out.,B00CIECDEM,B00BXLW5QC,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1459030000000.0,0,True
5, GOOD PIZZA !!, Perfect and I even used Amazon Points - was mailed right out.,B00HLAO738,B00HLAO65M,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1459030000000.0,1,True
5, We like this Store and they stock Tons of different Items for all kinds of Pets, Our cats love this place.,B015726JLY,B00BXLVETG,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1449420000000.0,0,True
5, Money was loaded on card, Was cute and the money was loaded when it arrived,B076CV42TK,B076CV42TK,AHYARJU3M2CYM3W5SZYL33KOFVHA,1559410000000.0,0,True
5, ud83dudc4d,ud83dudc4d,B07HJHK8Y5,B07HJHK8Y5,AEG6UV72JH6WOHEAWLMNXT6J7F4A,1642620000000.0,0,True
5, Love it!!,This is an online gift card nothing to show sorryud83eudd2a,B086KKT3RX,B086KKT3RX,AFZ2WFNVLG46EXHEF5AEG4LNR5JQ,1670030000000.0,0,True
5, Five Stars, Gift cards are always a hit.,B0091JKY0M,B0091JKY0M,AHYPJP7HKAXKK2QZG3MRPVNHUQGQ,1490600000000.0,0,True
5, So cool you can get a free tin with the gift ..., So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.,B072P5VV4D,B00ADR2LV6,AET5VFNIYKIHIPO3ZALZSLXX3KOQ,1514400000000.0,0,True
5, Reccomend, Really easy to load,B00IX1I3G6,B00IX1I3G6,AF76P2AWQWB7ZDCNGZO2GV7JIK4Q,1613750000000.0,0,True
5, Little sister surprise," Same gift as her big sisters, this little one can choose the exact thing she most desires and run to the door for three days in anticipation.  A combined birthday and Christmas present for one who knows her own mind.  Good choice!",B0091JKYLQ,B0091JKYLQ,AFEYY6TB5DOF2U4WCL7GRMNZREJA,1486680000000.0,0,True
1, The added value was great but no more, Purchasing an Amazon gift card came with an added monetary value but no more.A Bronx cheer for you!,B00IX1I3G6,B00IX1I3G6,AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,1638160000000.0,0,True
4, Perfect gift!, This is near where I work and has a drive through.  Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!,B07Q8KN5TJ,B07Q8KCGYT,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,1604370000000.0,0,True
4, Great staff appreciation gift!, What better gift during these times than one to treat yourself.  This is a great gift I gave out to my staff and even those who dont read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.,B07Y5YJK66,B07Y5YJK66,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,1604370000000.0,0,True
5, Cute cute cute!, I love the tin! The gift cards can be ordered on different amounts.,B01C9MW8Z6,B00JFBLZ90,AFTPWW67O3POISX7RO75HMRHQL3Q,1527710000000.0,0,True
5, Five Stars, Simple and easy.,B00IX1I3G6,B00IX1I3G6,AEZJ2TU2SLZEDP2YXEM7UHTLM6EA,1513450000000.0,0,True
5, As described., Being able to reload the gift card is a time saver.,B086KKT3RX,B086KKT3RX,AF2FG45QSSVK2WMLTGPTD5IZHSWA,1643240000000.0,0,True
5, Perfect gift for any occasion. Let them pick out what they love!," I mean really, who wouldnt LOVE this?!?  Wonderful gift for any occasion.",B01MDLOM4V,B01B3DYSF0,AF36B77ISO4OHA5GUTF46F4BJRMQ,1496720000000.0,0,True
5, 12 year old daughter loved this gift!, Perfect gift for your kids!,B005ESMHN6,B005ESMHN6,AF36B77ISO4OHA5GUTF46F4BJRMQ,1491790000000.0,0,True
5, Easy to send to an Amazon shopper, This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.,B00IX1I3G6,B00IX1I3G6,AGV5IAI7ELBBT327V7EUBECMW6MQ,1560930000000.0,1,True
5, Recd promo from Amazon when reloading gift card.," Bonus, recd a promo from Amazon for reloading gift card.  Yeah.<br ><br >Gift card was posted to my account quickly.",B00IX1I3G6,B00IX1I3G6,AFOU3KAJIZ7YQCXJ3CJOYJ3J7GSQ,1571820000000.0,0,True
5, Saves a Little Over time., Nice way to save a few bucks overtime by reloading your own gift card.,B00IX1I3G6,B00IX1I3G6,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,1558230000000.0,0,True
5, What a great company," Who wouldnt want an Amazon gift card?  The box foretold the contents, lol.",B005ESMF5G,B005ESMF5G,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,1484280000000.0,0,True
1, A problem to use at drive thrus," I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although its on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isnt a way of contacting happy cards customer service online that I could figure out. I wish Id just stuck with credit cards. A lot safer.",B07RN957Q8,B07JMV25V6,AHZ53K26WSCRDR32EGBBA43OEFFA,1615900000000.0,4,True
5, A gift card does make a great gift for a tweenager.," We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!!  You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!",B00IX1I3G6,B00IX1I3G6,AFOELOYLQUGV6UDAZU2YLAOVZ4JA,1667150000000.0,0,True
5, Nice to have," This comes in  very handy, and makes the guilt less",B00IX1I3G6,B00IX1I3G6,AFICQHAE6YOEIGE5TYZG5TN7OTRQ,1501710000000.0,0,True
5, Excellent Gift," Who would not like an Amazon Gift Card?  Makes everyone I give them, happy!",B071NM2PNL,B071X4ZX3X,AGSGQ6Z2XBJPLC5C2EOZDPCDXKDQ,1611440000000.0,0,True
5, Yay so easy!, So easy! No scraping!,B00IX1I3G6,B00IX1I3G6,AHCDZ4OXU7U4AWYCAK2674R3NYVQ,1494970000000.0,1,True
5,), easy to use,B086KKT3RX,B086KKT3RX,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,1653190000000.0,0,True
5, 10/10, works great,B00IX1I3G6,B00IX1I3G6,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,1582920000000.0,0,True
5, Perfect for a birthday ud83cudf82, Another nice gift box from Amazon. With the world the way it is now I had to send a gift rather than going to a party. And Amazon has a good selection of gift boxes and fast shipping so my nephew was happy when he received the card in the mail.,B06ZY43PDR,B071LMFYTG,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,1589290000000.0,1,False
5, Perfect!, Bought this for a gift and was very happy it shipped quickly and they received it just in time! Amazon is awesome! ud83eudd29,B07FKKBFHS,B07FKKBFHS,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,1586490000000.0,0,False
5, Gift box nice!, Love the gift box. So much j NB icee than just handing a gift card to the grandkids.,B01K8RIM5Y,B005S28ZES,AHUX7LYUKBTCPVVALKMMPH6JYCGQ,1621550000000.0,0,True
5, It was soooo easy, It was a nice way to give a present,B086KKT3RX,B086KKT3RX,AETXMYPV6KHWTNVRXNXFYQN2TZNA,1672080000000.0,0,True
5, great, great buy,B005ESMGZU,B005ESMGZU,AFDAN27KWZQOMPX5J2NB7MAPOIXA,1477510000000.0,0,True
5, Amazon Thinks of Everything!, GREAT idea!  I was so happy to have these on hand for the Holidays!,B00IT0NO10,B00IT0NO10,AHI5GVBI6PNSQ4T43RTEAJ4VQH2A,1420300000000.0,0,True
5, Amazon lover giftee?  Buy it!,So gift card for certain sum.  No service fee.  Lively metal gift box - yes..... I said metal.  What is not to love about this???!<br ><br >Well done Amazon.  Well done.,B0866QM41K,B00ADR2LV6,AGWX2VRM6GYPGQM3XNL2NEYY7JAQ,1668530000000.0,8,True
5, Timing, Great timing.,B00IX1I3G6,B00IX1I3G6,AFTDSPCG32FV2VPWLEYPDQARTSQA,1595380000000.0,0,True
5, Was easy to do, Easy to use,B086KKT3RX,B086KKT3RX,AFH37SUSDVJI6GWNF2YSSGAPUB7A,1663340000000.0,0,True
5, PENGUINS, So so cute!,B07FKK8SFR,B07FKK8SFR,AEVH6SVYTFNNONWKJLLZOGDRBFWQ,1562020000000.0,0,True
5, Believe this is the best gift to give !, The recipient can choose what they want so the giver has less chance of a mistake.,B0866QM41K,B00ADR2LV6,AE5PZITMWZJBPVKL7XXYUFBTITQA,1641850000000.0,0,True
5, convenient, A great and convenient gift idea-price is right too!,B01MSBQB1P,B01MSBQB1P,AEUZHPIGXLWEQ7HW5LRYEPD3QYCQ,1543690000000.0,0,False
5, Five Stars,The gift card came in a pretty box.<br >Thanks Amozan.,B005ESMM04,B005ESMM04,AG4H4WHLCUIJMCIRGXUZWNVIOODA,1433220000000.0,0,True
5, Best gift for someone you donu2019t know what to get, This was for a gift,B07641P3WL,B07641P3WL,AFP4PCVJ723ZNLOS4IPWVLLC3T2Q,1554490000000.0,0,True
5, Great value, Made my shopping much better good value,B07674CBVT,B00OV98120,AFGNK6IBETT72HOGGHE7GMBDWPQA,1545520000000.0,0,True
5, Sweet gift!, I sent this to my brother and he couldnt stop talking about it. This boxes puts a little more nice into a gift. Very pretty!,B07DDC8FJM,B073VBZM8J,AGF6GWDAWG7UW3R5O2G5O5JZC4BQ,1646500000000.0,0,True
5, Amazing, It can be used for a variety of things.,B07HJD9FVV,B07HJD9FVV,AG4DEQCBVNCJPRHXC3S255BBJALQ,1665850000000.0,1,True
5, Great Holder, Great holder for gift cards,B07FK7L976,B00ADR2LV6,AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,1676600000000.0,0,True
5, Gift card, Makes these so easy for any holiday and especially stops buying something people do not like,B07HJHK8Y5,B07HJHK8Y5,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,1575670000000.0,0,True
5, Starbuck gift card, My friend like the gift card like the sweater for holiday card,B076ZTSX5V,B00BXLW2AQ,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,1515890000000.0,0,True
5, Good litte thank-you gifts," Im happy they did not cost me more than their face value to buy. I gave them out as a nice thank you to those who helped me with small things around my house. I sent them in the mail as a surprise, knowing money or gifts was not necessary. I recommend them.",B00FTGTM5E,B00FTGTIOE,AFMHO73ZLBHUMB36EHB4GUFLM3SA,1653090000000.0,0,True
3, Okay as a gift, After I bought several I realized I could have sent gift money via text without the fees or wait.,B07GH6WX29,B07GH6WX29,AFMHO73ZLBHUMB36EHB4GUFLM3SA,1641430000000.0,0,True
5, Good gift," Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend.",B07FMJVVKW,B077N4CNVJ,AFMHO73ZLBHUMB36EHB4GUFLM3SA,1629480000000.0,0,True
5, So convenient.," Arrived on time, in perfect shape, and best of all the person receiving the gift can buy whatever they want. One size fits all!",B07HJHK8Y5,B07HJHK8Y5,AFMHO73ZLBHUMB36EHB4GUFLM3SA,1617600000000.0,0,True
5, Just what was ordered., Made holiday shopping easy!,B00IX1I3G6,B00IX1I3G6,AFMHO73ZLBHUMB36EHB4GUFLM3SA,1577390000000.0,0,True
5, Can Do It From Home,Usually I either receive an Amazon gift card as a birthday andor Christmas gift or I purchase them at a store. Then its very easy to add the amount to my gift card balance using my cell phone. Well I was stuck inside for several days due to a blizzard and I bought quite a few books then due to a travel ban I could not go to the store to purchase a gift card.<br >So after checking my Gift Card Balance I saw that I had overindulged and it needed to be topped up. One of the options under Manage Your Balance was to Reload Your Balance. I had never used this option but decided to try it. It was so easy to do and I didnt have to leave the comfort of my home. I will be using it again in the future.,B086KKT3RX,B086KKT3RX,AFQW7QX2DREMFPK5WSMQKG27UOQA,1672950000000.0,17,True
5, Love it!, Love my card!!,B00IX1I3G6,B00IX1I3G6,AG6K7GPCDHQNKMVDMTYKKWSOAVVQ,1515200000000.0,0,True
5, Easy to use,Itu2019s easy to use and very convenient. I would definitely consider refill more in the future,B086KKT3RX,B086KKT3RX,AFGDRVPCP742YM5MMLFIKZCGNNRQ,1640900000000.0,0,True
3, Easy to use, Very easy to use. I wish I knew about it earlier,B00IX1I3G6,B00IX1I3G6,AFGDRVPCP742YM5MMLFIKZCGNNRQ,1593400000000.0,0,True
5, Perfect gift sent I a lovely container, Sent in a lovely container,B01K8RJDEI,B00ADR2LV6,AFWAXSLBIVNLLSKAKEXZWH6ZRFIQ,1637790000000.0,0,True
